name,domain,getapp_logo,clearbit_logo,desc,rating,num_reviews,cat,subcat,getapp_cat_link
Freshmarketer,www.freshworks.com,https://ga1.imgix.net/logo/o/112157-1517479441-3638847?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,All-in-one conversion rate optimization (CRO) suite,4.29,7,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/
Incompetitor,www.intelligencenode.com,https://ga1.imgix.net/logo/o/105333-1475747106-4537182?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Retail analytics platform with real-time insights,4.8,10,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=2
Certent Disclosure Management,,https://ga1.imgix.net/logo/o/105029-1473262470-238178?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Disclosure management & compliance,4.5,4,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=2
Cyfe,cyfe.com,https://ga0.imgix.net/logo/o/90934-1591613269.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/cyfe.com,All-in-one business dashboard,4.6,30,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=2
Predixion,,https://ga0.imgix.net/logo/o/101661-1434378950-6355734?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Cloud-based predictive analytics platform,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=2
EduBrite,edubrite.com,https://ga1.imgix.net/logo/o/108185-1498205601-433744?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/edubrite.com,LMS for businesses & training providers,4.86,37,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
Shelf,theshelf.com,https://ga0.imgix.net/logo/o/109661-1504780952-3151388?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/theshelf.com,The Knowledgebase for high performing companies,4.95,37,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=2
TIBCO Spotfire,,https://ga1.imgix.net/logo/o/102923-1457111186-3071742?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Data visualization and analytics software for any industry,4.38,20,business-intelligence-analytics-software,data-discovery,https://www.getapp.com/business-intelligence-analytics-software/data-discovery/
DataPlay,dataplay.us,https://ga1.imgix.net/logo/o/111263-1512656026-2694287?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/dataplay.us,Suite of automation tools for data analysis,5.0,11,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/
Bizible,bizible.com,https://ga1.imgix.net/logo/o/91331-321522970.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/bizible.com,B2B revenue attribution & planning,5.0,6,business-intelligence-analytics-software,analytics,https://www.getapp.com/business-intelligence-analytics-software/analytics/?page=3
Wise,wisefoodstorage.com,https://ga0.imgix.net/logo/o/101569-1432811275-4291236?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/wisefoodstorage.com,A machine-learning platform,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=3
Methodologee,methodologee.com,https://ga1.imgix.net/logo/o/91491-2369562769.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/methodologee.com,Systemize your business. Simplify your life. ,5.0,7,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Base CRM,getbase.com,https://ga1.imgix.net/logo/o/9589-1427280970-582866?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/getbase.com,The All-In-One Sales Platform,4.35,102,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/
Versium,versium.com,https://ga0.imgix.net/logo/o/101565-1432803184-9519455?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/versium.com,Actionable data intelligence through predictive analytics ,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=3
Share a Refund,sharearefund.com,https://ga1.imgix.net/logo/o/102369-1450630465-9386802?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/sharearefund.com,Get the refund credits from FedEx and UPS you deserve,,0,business-intelligence-analytics-software,predictive-analytics,https://www.getapp.com/business-intelligence-analytics-software/predictive-analytics/?page=3
Gluu.biz,,https://ga1.imgix.net/logo/o/91320-545915756.gif?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Make any process easier to understand, execute and improve.",4.6,10,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=3
Envisio,envisio.si,https://ga1.imgix.net/logo/o/107997-1497953932-074892?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/envisio.si,Strategy implementation & performance management,4.2,5,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
Roosboard,dashboard.no,https://ga0.imgix.net/logo/o/109215-1502980914-0338442?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Search powered business analytics,,0,business-intelligence-analytics-software,data-analytics,https://www.getapp.com/business-intelligence-analytics-software/data-analytics/?page=2
Dataccuity,unbouncepages.com,https://ga1.imgix.net/logo/o/105765-1480436969-4113696?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Financial reporting, budgeting & dashboard creation modules",5.0,3,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=2
SumAll,sumall.com,https://ga0.imgix.net/logo/o/90970-1891025690.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/sumall.com,Connect data. Get insights.,5.0,2,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/?page=3
Qhub,qhub.com,https://ga0.imgix.net/logo/o/20575-4257882885.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/qhub.com,Q&A Software that Makes it Easy to Build a Vibrant Community Hub,5.0,1,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=4
OneAll,oneall.com,https://ga0.imgix.net/logo/o/100945-1421944156-566304?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/oneall.com,"Social login, single sign-on & social sharing",,0,business-intelligence-analytics-software,data-analytics,https://www.getapp.com/business-intelligence-analytics-software/data-analytics/?page=2
Mingdao.com (明道-企业社会化协作),mingdao.com,https://ga1.imgix.net/logo/o/90854-197690354.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/mingdao.com,Top enterprise social collaboration platform for China users.,5.0,1,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=4
Magnetic,magnetichq.com,https://ga0.imgix.net/logo/o/91448-1466493999-136239?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/magnetichq.com,Solutions with smarts,,0,business-intelligence-analytics-software,data-analytics,https://www.getapp.com/business-intelligence-analytics-software/data-analytics/?page=2
Lessons Learned Database,,https://ga1.imgix.net/logo/o/110161-1507642988-527411?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,A database for storing and searching for lessons learned,5.0,1,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=4
Flight,f-light.co.jp,https://ga1.imgix.net/logo/o/112685-1520250806-9697006?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/f-light.co.jp,Cash flow calendar & activity feed,4.45,11,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=4
BluLogix,www.blulogix.com,https://ga0.imgix.net/logo/o/103589-1461768916-2793832?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Multi-tenant telecommunications billing software,5.0,6,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=2
Screenful,screenful.com,https://ga0.imgix.net/logo/o/109613-1504622708-9930677?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/screenful.com,Visual dashboards & automated team status reports,4.7,10,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=4
Easy Insight,easy-insight.com,https://ga1.imgix.net/logo/o/2300-1651474704.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/easy-insight.com,Drag. Drop. Done.  Business Intelligence Made Easy.,4.83,6,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=4
Splunk Cloud,,https://ga1.imgix.net/logo/o/100783-1421947037-23841?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Operational Intelligence,,0,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/?page=3
Rocket Fuel,gorocketfuel.com,https://ga1.imgix.net/logo/o/100697-1415872859-536577?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/gorocketfuel.com,Display advertising and retargeting app,,0,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/?page=3
ProfitWell,,https://ga1.imgix.net/logo/o/109563-1504521643-3480992?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Subscription & financial metrics in one place,4.7,10,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=4
Priceforge,,https://ga0.imgix.net/logo/o/100141-1693856775.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Pricing optimization for commerce,,0,business-intelligence-analytics-software,data-analytics,https://www.getapp.com/business-intelligence-analytics-software/data-analytics/?page=2
PROS Smart CPQ,,https://ga1.imgix.net/logo/o/2029-1508178598-0360615?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Deliver sales automation with PROS Smart CPQ,,0,business-intelligence-analytics-software,big-data,https://www.getapp.com/business-intelligence-analytics-software/big-data/?page=3
NeuQs Free Helpdesk,,https://ga1.imgix.net/logo/o/10198-3593387691.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Web-based help desk and support application,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=5
KeyStone OnDemand,,https://ga1.imgix.net/logo/o/20399-4123084981.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Training platform with learning management system,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=5
Obindo,,https://ga0.imgix.net/logo/o/102297-1449676094-0984325?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Simple and social knowledge sharing for growing companies,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=5
Liberty,libertyhumanrights.org.uk,https://ga0.imgix.net/logo/o/106359-1485901205-4650497?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/libertyhumanrights.org.uk,"Knowledge, content & library management solution",,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=5
Amazon Cloud Search,,https://ga1.imgix.net/logo/o/100275-1408003598-558727?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Website search solution,4.0,2,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=5
SQL-RD,,https://ga1.imgix.net/logo/o/105313-1475595305-5325434?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Advanced automation for SQL server reporting services,3.6,5,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=5
PriceGrid,pricegrid.com,https://ga1.imgix.net/logo/o/8202-2726133039.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/pricegrid.com,Price Monitoring and Competitive Intelligence   ,4.0,2,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=5
MindTouch,mindtouch.com,https://ga0.imgix.net/logo/o/101913-1446201265-5864122?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/mindtouch.com,Self-service customer success & knowledge base platform ,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=5
siteAnalyser,,https://ga0.imgix.net/logo/o/90619-1517507494-170071?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Performance analysis for eCommerce websites,,0,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/?page=5
WordStream SEO for FireFox,,https://ga0.imgix.net/logo/o/8298-142380888.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Keyword optimization for written copy,,0,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/?page=5
Spinify,spinify.com,https://ga1.imgix.net/logo/o/105953-1481644136-0989473?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/spinify.com,Lively Leaderboards: Engage Your Staff!,4.75,8,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=4
ipapi,ipapi.co,https://ga0.imgix.net/logo/o/109109-1502287964-7081742?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/ipapi.co,Web analytics with IP address lookup and location API,,0,business-intelligence-analytics-software,web-analytics,https://www.getapp.com/business-intelligence-analytics-software/web-analytics/?page=5
soLearn,,https://ga0.imgix.net/logo/o/9658-1533825015.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Training evaluation, testing & knowledge monitoring tool",,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
iorad,iorad.com,https://ga0.imgix.net/logo/o/103357-1459766832-0537453?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/iorad.com,Create application instructions and step-by-step tutorials ,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
Universal Knowledge,universal-knowledge.jp,https://ga1.imgix.net/logo/o/105247-1474899305-3079062?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Multi-solution knowledge management product,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
Precurio,,https://ga1.imgix.net/logo/o/10035-4004796831.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Workflow automation & reporting business platform,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
Plek,plek.com,https://ga0.imgix.net/logo/o/106927-1490958009-3493037?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Community & collaboration platform,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
Skillmeter,skillmeter.com,https://ga1.imgix.net/logo/o/91363-700476581.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/skillmeter.com,Skills Testing Done Right,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
ShowHows,showho.ws,https://ga0.imgix.net/logo/o/110499-1508763475-4448192?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/showho.ws,Online how-to guides & tutorials for business,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
Analance,,https://ga1.imgix.net/logo/o/110611-1509200476-3057933?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Enterprise analytics & end-to-end IT services,,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=6
Teepin,teepin.com,https://ga0.imgix.net/logo/o/8163-1919602605.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/teepin.com,Harness the Power of Ideas,,0,collaboration-software,knowledge-management,https://www.getapp.com/collaboration-software/knowledge-management/?page=6
Cloud9,cloud9.gg,https://ga1.imgix.net/logo/o/9397-4166546866.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/cloud9.gg,Web-based sales pipeline management application,3.0,1,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=6
BIRT onDemand,,https://ga1.imgix.net/logo/o/90882-1844892134.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,The Smart SaaS Solution for Business Intelligence & Reporting,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Happy Apps,happyapps.io,https://ga0.imgix.net/logo/o/101517-1432163360-3227186?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/happyapps.io,"Uptime and performance monitoring, without the noise. ",,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
CustomerGauge,customergauge.com,https://ga1.imgix.net/logo/o/91551-1503998501-8437521?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/customergauge.com,"Net Promoter Score® to measure, act, monetize and grow your customer base.",4.0,1,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Belladati,belladati.com,https://ga1.imgix.net/logo/o/1518-168170320.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/belladati.com,Agile data analytics and Business Intelligence software,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Hohli,,https://ga0.imgix.net/logo/o/20554-4205359149.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Online Charts Builder,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Avarea Analytics for Marketing,,https://ga1.imgix.net/logo/o/112313-1518109013-9130378?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Automated marketing reports & dashboards,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
OverOps,overops.com,https://ga1.imgix.net/logo/o/102191-1516538653-3729765?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/overops.com,Root Cause Automation in Staging and Production,3.5,2,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Agile Reporting Services,,https://ga1.imgix.net/logo/o/9550-3216275930.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Business Intelligence & Analytics,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Financial Dashboard and Business Intelligence,,https://ga0.imgix.net/logo/o/9513-4102462470.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Financial analysis and strategic planning software,5.0,1,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=5
Akita,akitaapp.com,https://ga1.imgix.net/logo/o/105067-1473343508-6265328?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/akitaapp.com,Identifies at-risk customers to reduce churn,4.0,1,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=6
MonkeyData,monkeydata.com,https://ga1.imgix.net/logo/o/106541-1487761805-482513?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/monkeydata.com,Mobile-friendly eCommerce analytics dashboard,,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=7
BluePlanner,,https://ga0.imgix.net/logo/o/9520-1519663492-6889637?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Sales Planning, Trade Promotion, and Analytics Software for Consumer Goods Manufacturers",4.0,1,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=6
InfoCaptor Dashboard,,https://ga1.imgix.net/logo/o/90535-3161943609.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Disruptive Dashboard with Real Bells and Whistles,,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=7
DataCycle Reporting,,https://ga0.imgix.net/logo/o/9399-23930251.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Business intelligence & Excel automation,4.0,1,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=6
Kognitio Cloud,,https://ga0.imgix.net/logo/o/90977-4275156103.jpeg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,A ready-to-use analytical platform,,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=7
Kompyte,kompyte.com,https://ga1.imgix.net/logo/o/103755-1462821724-3187182?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/kompyte.com,Track & analyze competitors in real time.,,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=7
HomeCare Accounting,,https://ga0.imgix.net/logo/o/103783-1462959936-8276758?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Clinical, financial & business intelligence solution",,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=7
Logi Vision,logivision.com,https://ga1.imgix.net/logo/o/102027-1444080487-4627612?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,Self-service analytics for the workgroup,,0,business-intelligence-analytics-software,business-intelligence,https://www.getapp.com/business-intelligence-analytics-software/business-intelligence/?page=7
theBillingBridge,thebillingbridge.com,https://ga1.imgix.net/logo/o/103255-1460118967-1660128?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/thebillingbridge.com,EMR/ EHR Integrated Medcial Billing and Collection Reports,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=6
Tidemark,tidemark.com,https://ga1.imgix.net/logo/o/91689-1263359536.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/tidemark.com,Tidemark Re-imagines Cloud-based Performance Management,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=6
Yurbi,yurbi.com,https://ga0.imgix.net/logo/o/90500-268188486.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/yurbi.com,Bring Your Data to Life,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=6
Trend Miner,trendminer.com,https://ga0.imgix.net/logo/o/91311-187989864.png?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/trendminer.com,Historical Trend Analysis and BI Visualization for Dynamics CRM.,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=6
XLReporting,xlreporting.com,https://ga0.imgix.net/logo/o/104161-1466513476-8719397?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,,"Web-based, Excel-integrated reporting and budgeting",,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=6
Surveyi2i,surveyi2i.com,https://ga1.imgix.net/logo/o/90567-651867888.jpg?ixlib=rb-1.0.0&ch=Width%2CDPR&auto=format,https://logo.clearbit.com/surveyi2i.com,Making Survey Analysis Simple & Affordable ,,0,business-intelligence-analytics-software,reporting-dashboard,https://www.getapp.com/business-intelligence-analytics-software/reporting-dashboard/?page=6
